index,for/against,evidence-responsiveness
12538737,0,
90059797,0,
80110866,1,1
17711804,1,1
55488750,-1,4
12475515,0,
44266696,come back,1
87506742,0,
73428047,1,1
77540054,0,
12350832,1,5
86947967,1,3
18417322,0,
88892456,0,
34546799,0,
89438681,1,4
11346799,0,
62915293,0,
24807122,0,
67162640,0,
66976089,1,3
35747204,0,
81344643,1,2
99553868,0,
96058874,1,1
70028685,1,4
40813335,1,1
85239999,0,
92732043,0,
64167280,0,
90631560,0,
23422922,0,
20707348,-1,4
27253411,0,
62604562,0,
57851637,1,2
93466271,1,2
95773946,1,1
27130148,0,
25845439,0,
62897891,0,
28467347,,
94971275,1,2
26841557,0,
82494754,0,
25529709,0,
62040412,-1,2
41773250,0,
41630935,0,
61865545,0,
11433310,0,
70974127,0,
67347301,1,1
53442463,1,1
47139260,1,2
78117296,1,1
53136270,0,
77670713,1,1
21658164,1,1
48997397,0,
75261052,0,
34022294,0,
96497355,1,1
82382186,0,
11237248,-1,4
65761289,0,
64341461,0,
33728108,0,
91680120,0,
76053041,1,4
86929730,1,3
96121912,0,
92796806,1,2
52555733,1,1
41050201,-1,4
97488582,1,1
74260210,1,4
19190839,0,
67849439,0,
51960018,-1,4
19673097,0,
73813136,0,
32305861,1,2
32691103,0,
55004306,0,
64485857,0,
61064406,0,
24898647,0,
71407282,0,
43538104,0,
27030205,0,
28933995,,
13522981,0,
22057769,1,3
86410708,0,
45809045,1,1
73782448,1,2
81066928,1,1
88630967,0,
23617084,1,2
28513316,0,
93362062,0,
94200480,1,2
73362359,0,
25329148,1,5
25365449,0,
52620055,1,1
46303144,1,1
77640182,0,
57417256,0,
99157657,1,1
61674358,0,
21937283,0,
41152232,1,2
56940051,0,
21307454,1,2
64926751,1,1
40949570,0,
75649764,1,2
24837201,0,
11347314,0,
92899622,0,
83351369,1,1
31502323,1,1
25625227,0,
67116317,0,
27165968,0,
74467263,0,
59218241,0,
39959014,0,
