index,for/against,evidence-responsiveness
36660011,0,
42502668,1,2
86822253,0,
55975275,1,3
47391636,0,
80798957,1,1
36916167,-1,2
22989893,1,2
44882842,0,
39714493,0,
44737393,1,2
60577068,1,4
52954483,1,5
14231374,1,4
39206771,,
79736796,1,5
57059336,1,2
66439645,1,2
12907486,0,
49785133,-1,1
86121165,0,
84554924,-1,4
38982520,1,1
66579733,0,
54527856,0,
57608440,1,4
14615975,0,
22780650,-1,2
15310043,-1,2
34871201,0,
27770337,1,5
42461308,1,2
36044864,1,4
79569801,1,2
46845896,0,
67643227,1,2
19389831,0,
64952659,1,2
48397171,0,
20897099,1,5
71373878,1,2
62479233,1,1
75855386,0,
31555765,1,5
77179630,0,
71991205,0,
90678587,1,5
93655806,1,5
71658877,0,
88856726,1,2
91353307,1,5
17890751,0,
83146058,-1,2
80993544,1,2
96027187,1,4
24612054,-1,4
47599925,0,
37367064,0,
93881918,1,4
63733590,0,
21086503,0,
92387569,-1,1
14191052,1,5
44447607,0,
68088934,0,
52165394,0,
27692244,0,
17191419,0,
52426679,0,
97117576,1,2
40901139,0,
75425726,1,5
61976661,0,
94234948,,
40418258,0,
61717220,1,5
38504053,1,5
37551941,0,
39639581,1,4
14313367,1,1
52132998,1,4
77220841,0,
56391852,1,5
67190919,0,
12059589,0,
59602773,0,
77640182,0,
57417256,0,
99157657,1,4
61674358,0,
21937283,0,
41152232,1,1
56940051,,
21307454,0,
64926751,0,
40949570,0,
75649764,1,2
24837201,0,
11347314,0,
92899622,0,
83351369,0,
31502323,0,
25625227,0,
67116317,0,
27165968,0,
74467263,0,
59218241,0,
39959014,0,
73528895,0,
19397956,0,
62550132,0,
70101822,,
30996886,1,4
83410060,1,5
53969789,0,
82472300,1,1
89885471,0,
33258195,0,
34935781,1,3
14758014,1,5
23425279,1,1
16402334,0,
70884601,0,
91045546,0,
50782261,1,4
13657655,1,3
50029598,1,1
33932144,0,
72627455,-1,5
73364940,0,
