index,for/against,evidence-responsiveness
49614017,,
46812830,1,5
68628086,1,3
59443481,-1,1
65869384,-1,2
30393394,-1,4
92408155,0,
79973026,-1,2
72007710,1,4
35208522,-1,1
65993578,0,
91225994,0,
46310635,1,3
46281950,1,5
55758377,0,
42306986,1,4
13863248,0,
86895703,1,4
20827776,1,3
49723875,0,
26761451,0,
81010441,1,4
81346131,0,
21705285,0,
23115619,1,1
59153877,0,
93291458,,
83079918,1,3
77693044,0,
72501917,1,1
51543852,1,1
86435270,1,1
65993977,0,
71985494,1,2
63492230,1,3
78201756,1,4
24777051,-1,5
60420758,1,5
71705175,1,2
17418953,1,1
76073059,0,
22823819,1,1
86426584,1,2
69817648,-1,2
56138721,1,3
58467091,1,1
11909828,1,3
82880164,1,5
71889750,1,1
15359897,1,5
94605452,,
15126505,,
66004033,1,5
45479512,1,3
27749320,0,
82909545,1,4
38304121,0,
91257760,1,1
12082651,1,3
32548938,0,
44874353,0,
26735165,0,
75542979,0,
53233758,1,1
47526543,1,1
43061087,0,
17144399,1,3
57434953,0,
10750235,1,4
61048857,0,
51921727,1,2
97518813,0,
43611454,1,2
52571932,0,
54463092,1,3
40562258,1,3
56510335,-1,5
44957010,1,2
96439537,1,4
96302033,-1,1
94744333,0,
41585342,1,3
48205253,1,5
91321844,0,
69622701,1,2
22130363,0,
39847746,0,
64252346,-1,1
49840364,1,1
24464192,1,3
26516452,-1,4
46736557,,
17527663,1,5
13369974,0,
11942548,1,5
82339254,1,5
88609975,1,4
45127017,0,
47419264,1,4
31478726,1,3
80732615,-1,2
34719944,0,
25048182,1,5
96301097,1,3
48264299,0,
12622434,1,3
38106519,0,
11377301,0,
27425564,1,4
71788971,0,
63576305,0,
21237505,-1,5
36485536,1,4
49083342,1,2
15110545,1,5
34433835,-1,1
39085461,1,5
44879692,1,3
50873715,1,4
56930933,0,
47967934,,
32462276,0,
78917094,0,
41588414,0,
81500134,-1,1
21010481,1,2
72678012,1,1
75576952,,
97496965,-1,3
32450064,0,
