index,for/against,evidence-responsiveness
75843695,1,4
51007616,0,
43904017,1,5
75299458,0,
40384733,1,2
53323703,0,
13878377,,
56164863,0,
69405420,1,5
28375655,1,5
62683974,1,4
95507594,1,4
65214026,1,4
43498331,0,
70744156,1,4
54949479,-1,2
26430101,1,5
62485916,1,2
60876516,1,3
84967339,0,
44758703,0,
59682397,0,
71898915,1,3
14708887,0,
55591588,1,4
34744201,1,3
18059169,1,4
64783083,1,4
97043557,1,5
85024158,0,
61553237,-1,1
88546795,,
80199172,1,4
49419037,-1,1
96263159,0,
20462005,1,4
42219017,0,
39333960,1,3
78413950,1,2
95728937,,
48242650,1,4
78410230,1,4
23413795,1,4
87590054,1,5
50390299,-1,1
90373432,-1,1
62437600,,
17718315,-1,1
53197723,0,
64309839,1,1
86755610,,
78268867,0,
90847615,-1,2
70373064,0,
54643097,0,
92611276,1,1
20800098,1,4
68070411,,
67237942,0,
53276255,0,
95960524,0,
45814576,-1,4
83701585,0,
71627210,,
80323342,1,5
40675627,,
18138584,1,4
79210961,0,
34216501,0,
58841151,1,2
90818288,1,4
54235076,1,4
92471813,1,1
90815594,0,
60379594,1,4
54097878,,
73046798,1,4
25849201,1,4
65877205,-1,2
89944121,1,4
10845957,0,
45234484,1,2
22237045,0,
73936111,,
33078452,,
72879878,1,1
73528895,1,2
19397956,0,
62550132,1,1
70101822,,
30996886,1,5
83410060,1,2
53969789,0,
82472300,1,1
89885471,1,5
33258195,1,4
34935781,1,1
14758014,1,4
23425279,1,4
16402334,,
70884601,1,5
91045546,0,
50782261,1,4
13657655,0,
50029598,1,1
33932144,0,
72627455,1,4
73364940,,
49881254,0,
11912751,1,4
35780875,0,
83582824,0,
77164035,0,
98568990,1,4
61937211,0,
13639180,0,
39594604,1,1
30479495,1,2
61010783,1,1
33483255,1,1
14718317,1,1
44209131,0,
76953722,0,
72499018,-1,4
75335641,1,2
21276068,-1,1
59053699,0,
82413338,1,5
60261657,0,
83681234,0,
